,summary
141,  have years of experiences in quantitative analysis and modeling and   am currently working in the marketing and analytical team at CapitalOne ith a multidisciplinary education background in engineering and economics    am good at analyzing social economic problems with multiple perspectives n addition  my multi cultural background enables me to collaborate well with people from different countries  
143,  am a fast learning and meticulous Data  Science Enthusiast who undertakes complex assignments  meets tight deadlines and delivers beyond the call of duty perates with a strong sense of urgency        and thrives in a fast paced setting ossesses practical knowledge and experienced in all three doma     
144,– 9 years of experience with Data Science  Big data technologies to handle large complex data and transforming data into actionable insights with statistical methods and machine learning algorithms  technically adept  Oracle certified  Business  ntelligence Data Analyst in Data Visualization  Reporting  Data Warehousing  Data Mining  Application Development and Database Administration  
145,Data Scientist with strong background in Machine Learning and Deep Learning  am passionate about working with numbers and working with people ooking to join the Data revolution and help organizations sift through the noise  highly diverse background and skills set demonstrates that   am deeply motivated to learn and can adapt accordingly to the needs of different projects nt to know more about me  visit Personal Website ☛ namanjain rikingly mGitHub  ☛  s   github m hunt4naman WebApp  ☛      bia656 ncaa prediction rokuapp mSpecialties   Cloud Computing   Microsoft Azure Batch Processing  AWS  EC2   Deep Learning   Neural Networks Convolutional Neural Networks CNN  Recurrent Neural Networks RNN  Generative Adversarial Networks GANs   Word Embeddings   Word2Vec  Glove word Vectors  Machine Learning algorithms   Linear Logistic Lasso Ridge Regression  Support Vector Machines SVM   Naive Bayes  PCA  Decision Trees  Random Forest  Bagging  Gradient Boosting   Programming Skills   Python  numpy  pandas  scikit learn   TensorFlow  Keras  SQL  R  Data Visualization   Tableau  matplotlib  ggplot2  Big Data Processing tools   Cassandra  Hadoop  Natural Language Processing Text Mining  Statistical Analysis  Predictive Modeling   Multivariate Analysis  Web Scraping  BeautifulSoup A lifelong learner    enjoy hard problems that don t always have clear answers and learn by doing  further connect  i can be reached either through this profile or by email at namans4 gmail m   
146,SAS Certified Base Programmer R Programming Data mining Finance  
147,My machine is learning ou?  
148,Experienced Data Scientist with a demonstrated history of working in the internet industry killed in Data Science and Analytics  Strong research professional with a Master of Science  focused in        Business Analytics and Project Management from University of Connecticut School Of Business   
150,Data Scientist with over 5 years of experience in Data Science  developing Business  ntelligence products  programming  story telling & automation testing  am passionate about solving a variety of real world business problems using Data Science  Machine Learning & A   am following courses on Coursera  Kaggle Competitions forums  Data Science Central and other blogs and meetups to keep myself updated and constantly learning innovative ways of collecting  processing  cleaning  modeling and presenting large data Practical understanding of statistical analysis  machine learning & Deep Learning  Hands of experience in processing  cleaning and profiling large structured   unstructured data for Modeling  Deep understanding of Linear Regression  Lasso  Logistic Regression  Decision Trees  Bagging  Boosting  Random Forests and Neural Networks  KNN  K Means clustering  Sound knowledge in Dimensionality Reduction Techniques such as Discriminant Analysis  PCA  Factor Analysis and T SNE  Pet projects in Time Series Analysis  Market Basket Analysis  Classification  Clustering  Natural Language Processing  Text Mining  etc Experience working with engineering teams and clients across continentsFamiliar with Data Manipulation using Hadoop  YARN  MapReduce  Pig  Hive and HBaseProficient in R  dplyr  Caret  ggplot2  sqldf  AR MA  tm  wordcloud   Python  Numpy  Pandas  Scikit learn  Matplotlib   Spark  SQL  SAS JMP  MySQL  Advanced Excel   VB Java Script  Java  JSP  JQuery  AMPL  Tableau  Git   
151,Data science professional with over 5 years experience working on advanced analytics projects within marketing  merchandising  operations and pricing  and has experience working with diverse teams        within retail and healthcare space   
152,Technical skills  SQL  Python  R  C   Data Visualization Tools  Tableau  Microstrategy B  Statistical Modeling Tools  SAS  SPSS  XLMiner  Matlab Basic Understanding  Apache Hadoop  HDFS  MapReduce and Hive  re s a link to my Tableau Public profile tps   public bleau m profile nupur hta#     
153,Highly successful creative Ph  computer scientist with proven leadership ability and exceptional communication skills xtensive experience in data mining and creating innovative algorithms  publications  and presentations assionate subject matter expert in data science and big data analytics everage technology to create tailored solutions for complex problems and business challenges  
154,Aim is not to master but to understand hen one ventures to master anything  ego chips in owever  a will to learn opens the door to the treasures of knowledge and pure joy   unadulterated by competition  jealousy and the rat race ere is nothing insurmountable for anyone who truly puts in the hard work eople will have you believe that something is too hard or you particularly suck at something t is not true ou haven t developed an interest so far r may be you haven t persevered long enough to go through the initial hurdles here is nothing like hard work either actually he day you love something so much that you lose the sense of time or hours slip by while you are engrossed   you will get good at something re  nterests    Quant Finance  Pricing of Complex Derivatives  Fixed  ncome Risky  nstruments  Risk  Calculations  CVA DVA etc  Machine Learning  Deep Learning  Reinforcement Learning  Coding   Big Data Applications like HDFS   mpala  HBase  Spark  Mathematics      Writing      Politics   
155,Hello   ’m Hilary Parker   ’m a Senior Data Analyst at Etsy  where   help product teams with data driven development  via experimentation  opportunity sizing and impact analysis got my Ph  from the department of Biostatistics at the Johns Hopkins Bloomberg School of Public Health  working with Jeff Leek  studied genomics  and built tools to help researchers use genomic technologies in personalized medicine applications graduated from Pomona College in 2008  where   double majored in Mathematics and Molecular Biology rue to my liberal arts upbringing   ’m a passionate teacher ost notably    taught an introductory Biostatistics class at the American University of Armenia  and kept a pretty cool travel blog along the way   
156,Data science professional aspiring to leverage data science knowledge to build a great consumer product and make a positive impact on people s lives   years  experience in a data science role  skilled in data analysis and visualization  machine learning algorithms  and predictive modeling ills Summary    Modeling and Statistical Analysis  Linear Regression  Logistic Regression  Decision Tree  Random Forest  Boosting  SVM  kNN  Neural Networks  Naive Bayes  Clustering  PCA  SVD  NMF  Recommender Systems  Experimental Design  Data and Analytics Tools Languages  Python Numpy  Pandas  Scipy  Scikit learn  Matplotlib   SQL PostgeSQL  MySQL  Microsoft SQL Server    NoSQL MongoDB   Spark  Hive  MapReduce  R  SAS  Amazon Web Services  Flask  Git  TableauThings   love when   m not doing data science Reading  traveling and photography  long distance running  regular gym workout   
157,Thoughtful strategy & data analyst with a technical background  love learning about new industries and thinking about why s and how s  m skilled at extracting insight from data and helping teams convert knowledge into action studied computer science  worked in management consulting  then joined the in house strategy team at RPX Corporation t RPX    supported key initiatives including up selling $30M of revenue  launching a new client service  and building an industry research report  recently completed an immersive data science program  and am applying what   ve learned at a tech enabled legal services startup m an expert with Python  pandas  sklearn  keras  matplotlib  etc  SQL  postgres   Excel  and PowerPoint  ve also worked with AWS  Docker  MongoDB  and Tableau  
158,Big Data Machine Learning  Production Pipeline Recommender  Similarity  Scoring Regressions  GLM  CART  Clustering and PCA  Ensemble Models  Krigging  GEO mapping smoothing  heat maps Single multiple classes Network Linkage Analysis Spark  Big Data server AWS infrastructure Survival Analysis R Shiny Server   
159,An astute professional of having 8 years of experience using data science to solve industry wide problem in domain of product development  operation  marketing strategy and finance My work experience and research  interests lie in data mining and machine learning  have helped companies making millions of dollar by building a variety of statistical and machine learning models and solving interesting data problems  such as customer segmentation  optimize pricing  demand planning  depreciation models and recommended system for eCommerce mputationally speaking    have experiences in supervised learning including classification regression and regularization algorithms   support vector machines unsupervised learning such as clustering for continuous and categorical and mixed data types Probabilistic Graphical model Neural NetworksTool   Python  SQL   R  MatlabBig Data   Apache Spark  
160,  A Results driven  self motivated data analyst with an array of common data science tools on large data sets  in large scale implementation   5 years of hands on experience in developing and implementing decision management & monitoring systems at strategic  tactical  and operational levels    4 years of development testing experiences on complex database objects  stored procedures  functions   2 years’ experience in validation  translating business prototypes with unstructured data to metrics supported by visualization   n depth knowledge of Python  Java  PL SQL  SAS  R  No SQL Databases  ETL tools  Utilized large amounts of data to build prototypes in supply chain  customer analytics  care acts  
161,Minneapolis based mathematician and data scientist specializing in business analytics  data visualization  combinatorics  marketing analytics  statistical models  machine learning and big data technologies      Currently serving as Data Scientist at UnitedHealth Group reviously served as Capital Data  ntern at Brooklyn Public Library  BPL  assisting the Capital Finance and Real Estate  nitiatives Office build a robust business analytics and reporting platform to help efficiently track BPL s capital investments      Language skills  CSS   C    Hive  HTML  JavaScript  jQuery  Latex  Mathematica  Matlab  MySQL  PostgreSQL  MS SQL  Python  R   and SAS     Other relevant skills  AWS  Access  Data Warehousing  ETL  Excel  Hadoop MapReduce  Machine Learning  PowerB   Spark  Tableau and TensorFlow     Learn more about me at github m spradh or sabinp m     
162,“ n God we trust  all others must bring data”   William Edwards Deming  m a Data Scientist  working with Mercer  subsidiary of Marsh and McLennan Companies  in its Washington  DC office assionate about providing insightful solutions to challenging business problems    firmly believe that Data Science is the perfect tool to help businesses thrive utilize statistical techniques and advanced machine learning algorithms to enable businesses to expand to new horizons ecialties  Analytical Techniques  Statistical Testing  Data Exploration  Visualization  Clustering  Predictive Modeling  Machine Learning  Prediction  Classification   Regression  Linear  Logistic   Trees Decision Tree  Random Forest   Bagging  Boosting  Time Series Forecasting  Data MiningStatistical Tools  Python  R  Hadoop  Spark  MATLAB  Octave  SAS JMP  SAS Enterprise Guide  SAS Enterprise Miner  MS Excel  advanced Programming  Python  PySpark  Scala  Oracle SQL  PL SQL  C C    UN X shell scriptingData Visualization Tableau  MS Excel  ggplot2  Shiny  plotly  matplotlibProject Management MS Project  MS Visio  FMEA  WBS  Gantt Chart  Project Planning  Agile f you would like to contact me  please email me at pranavsachdev5 gmail m   pranav chdev uconn u   
163,  have deep interest in A  and   aspire to make it easily accessible to the businesses and the world  enjoy research in Deep Learning  ML  NLP s a Data Scientist at Cisco Systems  nc   m working to advance Cisco s efforts in Dl ML A  reviously    have had the opportunity to work with some very cool and accomplished people  spent the summer of 2016 at Adobe Research where   worked with Trung Bui  Walter Chang and Hung Bui on extracting the correct reading order text ur RNN based approach landed us with two US patents t Purdue as part of my graduate research    worked on  mplicit Discourse Relation Recognition ur work was appreciated in the form of a paper in CoNLL Shared Task 2016 hile at Purdue    also got a chance to work on detecting direct perception in Autonomous driven cars using Deep Learning techniques efore this    completed my Undergraduate Thesis at Northwestern University as a Research  ntern at the Center for Ultra Scale Computing and  nformation Security  also had the pleasure of working with the very awesome Yves Xie on exploring the power of RNNs ur paper was accepted at the Association of Computation Linguistics  ACL  2015 Main Conference  ve also worked remotely with Dr rina Rish from  BM Research on exploring deep learning applications to fMR   owe it to Prof uss Greiner for introducing me to things ML is capable of achieving y interest in this area grew exponentially while working with him on  ntelligent Diabetes Management as a Mitacs Globalink Research intern at University of Alberta  Edmonton  Canada  am also a hackathon junkie and love to build new things from scratch ou can check them out at     devpost m pranjaldaga   
166,My name is Qian CHEN  By learning statistics for several years and participating in projects utilizing my knowledge    have acquired valuable experience in designing and completing data reports providing        actionable business intelligence related to the company s products and services   
167,Graduated from UC Berkeley s Master s program in  ndustrial Engineering and Operations Research in May 2017    m currently a data scientist at Lyft ior to Berkeley    had 4 years of professional experience as an economic consultant at Analysis Group  m familiar with R  Python  SQL  and SAS  m passionate about using data to empower strategic decision making in the technology space  
168,Please see my personal website for the most up to date information      rachaeltatman m   
170,A visionary Data  ntelligence   Evangelist over 6 years experience in developing intelligent Data Science applications and help business take Strategic decisions ead  nnovation and Developments across different verticals Programming Expertise    Python  R  SAS  Scala  Shell Scripting  SQL PLSQL ols & Frameworks   Apache Spark  Hadoop Eco System  Tableau  NLTK  TensorFlow  CNTK  Windows Application Packaging  Web services  DevOps and Micro services pical Expertise Statistical Modeling  Data Munging  Decision Science  Machine Learning  Graph Analysis  Text Mining and Optimization  Web Scraping chniques Mix Models  Monte Carlo Simulation  Multinomial Logistic Regression  Neural Networks  Random Forests  Random Walk  Restricted Boltzmann Machine  Smith Waterman Alignment  SVD  SVM  one class SVM  Spectral Clustering  TF  DF scoring  Vector Space Model   Conditional Random Fields  Gaussian Process  Gradient Boosted Trees  Elasticsearch  Hidden Markov Models  Hierarchical Clustering   nformation Retrieval Algorithms  K Means  K Nearest Neighbors  Kalman Filter  Latent Dirichlet Allocation  Latent Semantic  ndexing  Linear Regression  Logistic Regression  Markov Process  Maximum Entropy Markov Models  Association Rules  Linear Programming  Quadratic Programming Genetic AlgorithmsSecondary Skills Oracle DBA  Linux Administration  Batch Scripting  Build Tools Jenkins & Docker   Application Packaging  Excel Macro s etc   
171,  Over 3  years of experience with Hadoop Ecosystem including HDFS  MapReduce  Hive  Pig  YARN  HBase  Oozie  ZooKeeper  Flume and Sqoop based Big Data Platforms  Over 2  years of experience in Apache Spark Ecosystem including Spark Dataframes  Spark Streaming and Spark SQL  Over 3  years of experience with Machine Learning algorithms and Predictive Modeling  Expertise in text classification  natural language processing  sentiment analysis  elastic search  and web scraping  Over 4  years of experience in Analysis  Architectural Design  Prototyping  Development   ntegration and Testing of application using Java J2EE Technologies  Expertise in handling big data  data migration between various systems and Hadoop  Kafka and Spark Streaming  Extensive experience in developing  nternet and  ntranet related applications using J2EE  Servlets  JSP  Jboss  WebLogic  Tomcat  and Struts Frame Work  Good experience in SQL  PL SQL  Shell Scripting  Partitioning  Data modeling  OLAP  Logical and Physical Database Design  Backup and Recovery procedures   
172,My Research Areas Robotics  Computer Vision  Optimization Summary* Creative  Dynamic  and Result Oriented tech lead  skilled at executing large data analytics science scale projects roven ability to deliver products with 99 9% reliability * Responsible for products that brought in $100 Million dollars of annual revenue * Writes and runs complex SQL scripts on ODBC  other database servers to extract records on terabyte and petabyte scale for analysis and modeling Develops advanced supervised and unsupervised learning methods of machine learning algorithm and statistical techniques like k means clustering  principal component analysis  PCA   regression and visualization techniques for pattern recognition or data mining and classification of feature vectors * Conducts coding of qualitative variables and manipulation  complex hypothesis testing and statistical analysis through various statistical methodologies like experimental designs  ANOVA  factorial design  ANCOVA etc   MANOVA  discriminant and factor analysis and  statistical inferences * Performs complex pattern recognition of financial time series data and forecast of returns through the ARMA and AR MA models  exponential smoothening  Vector Autoregressive Models for multivariate time seriesProgramming Languages  R   6   Python  6   Java   2   SQL   9   HTML  CSS  Javascript  jQueryComputing Environment  Hadoop  Spark  Kafka  SQL  MySQL  Redis  MongoDB  Solr  Elastic Search  Lucene  Hive  Cassandra  AWS  Azure  Tableau  SAS  WEKA  RapidMiner  MATLAB  Octave  JMP  Git  Github   Unix LinuxSkills  Data Analysis  Machine Learning  Predictive Modeling  Risk analytics  Econometrics   Project Management  Big Data  Time Series Analysis  Hedge Funds  Linear Optimization & Programming  Data transformations  Feature Engineering  CRM  Supply Chain Management  Experimental Design  Hypothesis Testing  A B tests  Bayesian  Multivariate Analysis  Clustering  regression  Neural networks   
174,Working at SparkCognition  
176,Creative data scientist with strong communication skills rengths      Understanding data and databases  end to end   from collection to storage to reporting analysis      Predictive modeling with python and scikit learn     Discussing the applications and impact of data science     Relational Database Modeling Design     SQL  for MySQL  SQL Server  Redshift  and Oracle databases      Twitter for Business     University Advancement and Fundraising Analytics      BM Cognos and Tableau Business  ntelligence Reporting     Cognitive Systems Engineering  Human Factors      Being able to communicate with both  technical people  and  business people    
177,  Around 8  years of experience in  T and 5  years experience in Datascientist with strong technical expertise  business exp  and communication skills to drive high impact business outcomes through data driven innovations and decisions Extensive experience in TextAnalytics  Sentimental Analysis developing different StatisticalMachineLearning  DataMining solutions to various business problems and generating data visualizations using R  Python  andTableau  Expertise in transforming business requirements into analytical models  designing algorithms  building models  developing data mining and reporting solutions that scale across a massive volume of structured and unstructured data  Experience in designing stunning visualizations using Tableau software and publishing and presenting dashboards  Storyline on web and desktop platforms  Hands on experience in implementing LDA  NaiveBayes and skilled in RandomForests  DecisionTrees  Linear and LogisticRegression  SVM  Clustering  neuralnetworks  PrincipleComponentAnalysis and good knowledge on Recommender Systems and NLP  Proficient in StatisticalModeling and MachineLearning techniques  Linear  Logistics  DecisionTrees  RandomForest  SVM  K NearestNeighbors  Bayesian  XGBoost  in Forecasting  PredictiveAnalytics  Segmentationmethodologies  Regression basedmodels  Hypothesistesting  Factoranalysis  PCA  Ensembles  Worked and extracted data from various database sources like Oracle  SQLServer  DB2  and Teradata  Well experienced in Normalization&De Normalization techniques for optimum performance in relational and dimensional database environments  Regularly accessing J RA tool and other internal issue trackers for the Project development  Skilled in SystemAnalysis  E R DimensionalDataModeling  DatabaseDesign and implementingRDBMS specific features  Expertise in all aspects of SDLC from requirement analysis  Design  DevelopmentCoding  Testing   mplementation  andMaintenance   
178,Experienced Data Scientist with a demonstrated history of working in the computer software industry killed in Research  Python  Matlab  SQL  and Statistical Modeling trong engineering professional        with a Master of Science from New York University   
179,  am currently a data scientist at Bloomberg  work as a quantitative researcher at BVAL   a team that prices fixed income securities have more than a year of work experience in finance aving landed an internship at Deutsche Bank in Pensions and  nsurance Risk Markets    was awarded a pre placement job offer on the basis of my accomplishments  joined as a full time analyst in the Distressed Products Group European Portfolios  and was actively involved in end to end deal management and financial modelling orking in a global team    was based out of Mumbai  and regularly visited Spain  Portugal and  taly as a part of the due diligence process – actively organising roll up sessions and property tours cleared CFA Level    in June 2016 and have a Bachelor of Technology in Electrical Engineering from   T Delhi  received the coveted Director’s Gold Medal   the highest honor awarded at   T Delhi for outstanding All Round Achievement and Leadership  and conferred on a single student in the entire graduating batch 2 month internship in New York University  and a 5 month exchange program at the University of Waterloo  Canada have been one of the most enriching experiences of my life – enabling me to understand different people  and the amalgamation of cultures across the world  and being able to proudly call myself a global citizen  
180,Versatile self starter with data science skills in  R  Python  SAS  SQL  Excel  and Tableau roven ability to collaborate interdepartmentally towards process streamlining and automation assionate programming with a love of learning languages  solving puzzles  and creating things terested in digging deeper into Scala  Spark  Python  Hadoop  JavaScript  ML  and D3 ini resume  World traveling data scientist consultant entrepreneur with 4  yrs analytics experience writes slam poetry and loves coding in R evious successes  traveled to 30 countries and used multicultural experiences to channel improved communications in diverse teams ngineered an analytical tool in Excel that tripled an employer s ability to ingest metadata  while managing diverse roles  customer service  web store development  YouTube conflict resolution with record label executives  and attending postgraduate courses in statistics orked on a venture that ultimately became an online media company  whose first magazine publication made over 100 000 unique impressions worldwide  in part due to innovative marketing efforts that   helped to facilitate as its co founder rchitected a corporate workshop  corporate blog posts  R package  and Tableau dashboard to contribute towards marketing practices  love learning    love teaching myself things  and   love teaching and helping others   
181,Data scientist at DataCamp with strong background in statistics and the social sciences xperienced in data modeling  analysis  visualization  online experimentation  and reporting in R and Python n my data science blog  hookedondata g    ve covered topics ranging from managing the business challenges in data science to making R code faster to giving your first data science talk  
182,Data Scientist with strong engineering background  
183,  am a professional data scientist with extensive exposure to large scale structured and unstructured datasets from different domains including but not limited to online retailing  legal documents  media articles and medical devices Supervised Learning classification   Deep Learning  Logistic Regression  SVM  Random ForestUnsupervised Learning clustering   K meanNatural Language Processing   POS tagging Noun phrases extraction  tf idf  LDATime Series Forecasting  SAR MA  Holt Winters  SVR  Random Forest Regression Skills  Python  SQL  R  MongoDB NoSQL  Redis  Linux Unix  SEMrush  Google Trends CorrelatePython packages  numpy  pandas  multiprocessing sklearn  nltk  lda  gensim  caffe  urllib  bokeh  textblob  seleniumMy Personal Webpage    yyang t   
184,Specialties   Statistical modeling  including logistic regression  GLM  GEE  mixed model  Big data analysis xperimental design  statistical consulting C    PERL R  SAS  STATA  MATLAB  SQL  Excel        Linux  
185,   Highly analytical and process oriented data science analyst with in depth knowledge of database types  research methodologies  and big data capture  curation  manipulation and visualization   Furnish insights  analytics and business intelligence used to advance opportunity identification  process reengineering and corporate growth  Strong research professional with a Master of Science  MS  focused in Computer Science from University of  llinois   n depth knowledge of R programming for data analysis in Mac  Unix and Windows environments   Knowledge in various economic econometric  Statistical  Predictive and  quantitative modeling such as ANOVA  Decision Tree  AR MA  GARCH  Exploratory Data Analysis  EDA   Classification & Regression Technique CART   Support Vector Machines  Decision Trees & Random Forests  Bagging & Boosting  Linear & Logistic Regression  Time series  Market Basket Analysis  Apriori Algorithm  Bayesian Thinking & Naive Bayes  Clustering  Neural Networks & CNN  Deep Learning  Reinforcement Learning  Recommender System  distribution analysis  confidence intervals and hypothesis testing  Good understanding of feature engineering  Dimensionality Reduction  PCA  Factor Analysis  and variable selection  Expertise in R for data parsing  data manipulation and data preparation  Experienced in acquiring  merging  cleaning  analyzing and mining structured  semi structured and un structured data sets for analysis  Created real time machine learning algorithm for twitter analysis using R and SQL  Capable of writing machine learning based algorithm using spark MLL B libraries  Capable of creating interesting visualization using tools such as R  Tableau & MS Excel  Extensively used agile methodology to successfully complete life cycle of several projects t in touch at rushabh tel5 gmail m   
186,  Master of Computer Science at U UC and Data Scientist  Solid knowledge in statistics  machine learning  and computer science fundamentals 5  years of experience analyzing data to drive business decisions in fintech and real estate industries chnical Skills                   Programming languages  Python  NumPy  pandas  sklearn   SQL  R  Java Database  SQLite  MySQL  PostgreSQL  HBase  Cassandra Tools  Apache Hadoop  HDFS  Apache Spark  SparkSQL  MLlib   Hive  Presto  Storm  Zeppelin  AWS  EC2  EMR  S3  Athena  Lambda  etc    BM Cloud  Bluemix DSX  & Watson AP s  TensorFlow  OpenCV  
187,Graduate Student at Rutgers University  with Major in  nformation Technology   Data Science  years of experience in Data Science [ML  NLP] and Software development ave worked from workflow        development to web service deployment  Github  github m sagarmk Contact details  sagar nka     
188,Who am  ? Data Scientist  San Francisco Bay Area Graduated from Carnegie Mellon University  Master of  nformation Systems Management  Data Science and Business  ntelligence Bachelor’s degree in Technology  National  nstitute of Technology Warangal   ndiaWhat   do as Data Scientist?    dentify opportunities and challenges in existing system    Collect Data   Build  Simulate  Test models   Deploy solutions   Rinse  RepeatWhat do   seek on Linkedin?Opportunities to network with like minded individuals  learn and grow professionally w can   be reached?  prefer to be contacted via email or LinkedinHere s the link to my Github   s   github m saijaya   
189,Sandhya is a dedicated data scientist whose passion lies in building abstract mathematical frameworks from unstructured business problems s an expertise working with massive amounts of structured and unstructured data using data mining  statistics & machine learning elps to add value to businesses by telling them stories focused on actionable insights and future trends orture the data  and it will confess to anything – Ronald Coase  Economics  Nobel Prize Laureate   
190,  Extensive experience in machine learning  deep learning and data analysis   n depth knowledge of optimization  simulation  operations research  and decision analysis under uncertainty  Solid background in statistics  applied mathematics  stochastic process  and mathematical modeling  Proficient in Python  Spark  Scala  SQL  C  C    R  SAS  Matlab  Java  and Hadoop   
192,  Strategic Thinking to identify and implement data driven strategies influencing decision making by analyzing opportunities in large  rich data sets   Design and implement statistical   predictive models and algorithms utilizing diverse sources of data to predict demand  risk and price elasticity  Utilize analytical applications to identify trends and relationships between different pieces of data  3 years of experience in SAP Business Warehousing and Analytics   
193,Data Science & Engineering professional   Programming  R  Caret  dplyr  ggplot2  shiny  knitr   Python  Pandas  NumPy  SciPy  scikit learn  Java  SQL  Java   HTML CSS  JavaScript  Big Data   Hadoop  MapReduce  Python  HDFS  Kafka  Hive  Pig  Java  YARN  Sqoop  Oozie  Flume  Storm  HBase  Spark  R  Machine Learning  Knox  Ranger  Solr   nformatica  Teradata Tableau  Cassandra  Amazon Web Services  Amazon EC2 infrastructure  Amazon Elastic Map Reduce  EMR   DynamoDB  MySQL  Python shell scripts  
194,A hybrid of an experienced machine learning researcher and a hands on full stack engineer killed in data science and software engineering trong research professional with a PH focused in Computer Science from Syracuse University o international best paper awards and all university doctor honor owner esearch area includes  Machine learning system  recommender system  numerical optimization and graph theory  
195,Passionate researcher and leader with a demonstrated history of working in academia and industry killed in artificial intelligence  machine learning  data mining science  human machine teaming HC          robotics and computer vision   
196,  Professional qualified Data Scientist Data Analyst with over 8 years of experience in Data Science and Analytics including Machine Learning  Data Mining and Statistical Analysis    nvolved in the entire data science project life cycle and actively involved in all the phases including dataextraction  data cleaning  statistical modeling and data visualization with large data sets of structured and unstructured data   Experienced with machine learning algorithm such as logistic regression  random forest  XGboost  KNN  SVM  neural network  linear regression  lasso regression and k means   mplemented Bagging and Boosting to enhance the model performance  Strong skills in statistical methodologies such as A B test  experiment design  hypothesis test  ANOVA  Extensively worked on Python 3 2  Numpy  Pandas  Matplotlib  NLTK and Scikit learn    Experience inimplementing data analysis with various analytic tools  such as Anaconda 4 upiterNotebook 4  R 3  ggplot2  Caret  dplyr  and Excel   Solid ability to write and optimize diverse SQL queries  working knowledge of RDBMS like SQLServer2008  NoSql databases like MongoDB3  Strong experience in BigData technologies like Spark 1  Sparksql  pySpark  Hadoop 2  HDFS  Hive 1  Experienced the full software life cycle in SDLC  Agile and Scrum methodologies  Experienced in Python to manipulate data for data loading and extraction and worked with python libraries like Matplotlib  Numpy  Scipy and Pandas for dataanalysis  Skilled in performing dataparsing  data manipulation and data preparation with methods including describe data contents  compute descriptive statistics of data  regex  split and combine  Remap  merge  subset  reindex  melt and reshape plications   Experienced in Big Data with Hadoop  HDFS  MapReduce  and Spark  Experienced in Data  ntegration Validation and Data Quality controls for ETL process and Data Warehousing using MS Visual Studio SS S  SSAS  SSRS  
197,  am deeply interested in applied machine learning   
198,  am an experienced data scientist with strong communication skills  m passionate about leadership roles  client facing roles  and technical roles involving machine learning  natural language processing         quantitative finance  and deep learning   
199,A budding data science and analytics professional with deep interest in the three pronged challenge created by the snowballing size of data  the growing complexity of big data  and the increased sophistication of analytical tools used to extract patterns and trends from the data rked on Hadoop and Reporting Tools Automation during internship at eBay which sparked my interest in data lso    love working with machine learning algorithms  have developed a clustering algorithm to group synonymous entities deduced from text analysis and a predictive model to understand the rate of progression of ALS Lou Gehrig’s disease  urrently working on developing problem solving skills through courses at Stanford as well as self education SOFTWARE SK LLS Python  R  Hadoop  Hive  Tableau  SQL  MS Excel  C  C  Contact  sheemausmani gmail m     
201,Leader of machine learning projects focused on prediction and geospatial data analysis using Spark on AWS amiliar with regression  time series  SVM and neural network models roficient in AP  querying        and scrapping open source data using Python lso experienced in R  SQL and SPSS   
202,Shraddha Sharma is Data Scientist in Synechron  nc Around 5 years of  ndustry experience in Data Analytics  briefly Python  R  Unix  Apache Spark  Zeppelin  Weblogic Admin  Hadoop  SQL  PL SQL  Excel  and Tableau  Proficient in Statistical modeling using R  SAS  Pytho  Experience in Omniture Analytics  Shell Scripting  Database Management  Load Balancing  SOAP  automating process and extensive querying Hand on Experience in using supervised and unsupervised learning algorithms in machine learning and statistical modeling Outstanding grasp of OOP  various data structures and fundamental algorithm for programming using Python & R to data wrangling modeling Advanced skills in Agile project management  project cost estimation and risk management  planning  finalization of technical   functional specifications  resource allocation & optimization ills SummaryData ScienceMachine Learning  Data wrangling  Data scraping  Predictive Modeling  Data extraction  Data cleaning  Data mining  Exploratory Data Analysis  Forecasting modeling  Statistical modeling and large data sets analytics using Apache HadoopScripting   Servlet  JSP  Javascript  phpProgramming  Python  R  SAS BASE  SAS JMP  JAVA C  Database  Oracle  Microsoft SQL Server  Mysql  HadoopOperating Systems  Unix  LinuxVersion Control  Git hub  SVNAnalytical ToolsTableau  R  Microsoft SQL Server  Oracle  MS Excel  SAS  R  SPSS Machine LearningAlgorithms  Linear Regression  Logistic Regression  Neural network  Support vector machine  K nearest neighbor  Decision trees  Random Forest  Boosted Trees  Time series forecasting  CHA D SegmentationMethodologiesText Mining  Behavioral Segmentation  Customer targeting and Segmentation  Time Series ForecastingFunctional AreaSurvival Analytics  Marketing Analytics  
205,Data Scientist at UBER pplied Machine Learning and Operation Research techniques to solve Bit to Atom real world problems raduated from Computational Finance Master Program at CMU with        experience in both Algorithmic Trading firm and Hedge Funds   
207,Data scientist with a PhD in Neurobiology from Duke University ackground in bioengineering with   5 years of experience in data analysis  programming  statistics and machine learning assionate about        finding patterns in data  applied statistics and experimentation  predictive modeling  classification  fe     
208,A true believer in integrity and strong work ethics  Sneha is currently working as a Data Science Analyst with Revionics in Austin TX he enjoys providing analytical services to the retailers across the world which aid them in making crucial business decisions rior to her graduate degree in MS in Business Analytics  she gained experience of 2 years as analytical professional at Deloitte in  ndia ith design  build and implementation of complex data   she developed a technical forte in data analytics  data profiling  data warehousing  ER modeling and business intelligence he has worked on end to end data warehousing and B  application for a fortune 100 healthcare analytics client e enjoys the challenge in analyzing data from a new perspective and turning it into actionable insights he is adept at gauging client’s Business  ntelligence needs to understand their customers  competencies  and priorities  
